home_team,away_team,home_goal,away_goal,season,round,data,hora,home_team_state_BA,home_team_state_CE,home_team_state_GO,home_team_state_MG,home_team_state_MT,home_team_state_PE,home_team_state_PR,home_team_state_RJ,home_team_state_RS,home_team_state_SC,home_team_state_SP,away_team_state_BA,away_team_state_CE,away_team_state_GO,away_team_state_MG,away_team_state_MT,away_team_state_PE,away_team_state_PR,away_team_state_RJ,away_team_state_RS,away_team_state_SC,away_team_state_SP
Atletico-MG,Flamengo,2,1,2021,10,2021-07-07,19:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Atletico-GO,Sport,1,1,2021,10,2021-07-07,19:15:00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Fluminense,Ceara,0,0,2021,10,2021-07-07,21:30:00,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False
Internacional,Sao Paulo,0,2,2021,10,2021-07-07,21:30:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
Chapecoense,Corinthians,0,1,2021,10,2021-07-08,21:00:00,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True
Palmeiras,Santos,3,2,2021,11,2021-07-10,16:30:00,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True
Gremio,Internacional,0,0,2021,11,2021-07-10,16:30:00,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False
Athletico-PR,Bragantino,2,2,2021,11,2021-07-10,17:30:00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
Sao Paulo,Bahia,1,0,2021,11,2021-07-10,19:00:00,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False
America-MG,Atletico-MG,0,1,2021,11,2021-07-10,19:00:00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sport,Fluminense,1,2,2021,11,2021-07-10,19:00:00,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
